##FastQC	0.11.9
>>Basic Statistics	pass
#Measure	Value
Filename	HU1_MOCK1_L001_R1_001.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	40237621
Sequences flagged as poor quality	0
Sequence length	50-151
%GC	47
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	36.27759638175428	37.0	37.0	37.0	37.0	37.0
2	36.30644045779943	37.0	37.0	37.0	37.0	37.0
3	36.4882655960202	37.0	37.0	37.0	37.0	37.0
4	36.547357732704924	37.0	37.0	37.0	37.0	37.0
5	36.590776701236884	37.0	37.0	37.0	37.0	37.0
6	36.61670788141277	37.0	37.0	37.0	37.0	37.0
7	36.617831879275364	37.0	37.0	37.0	37.0	37.0
8	36.62523390734258	37.0	37.0	37.0	37.0	37.0
9	36.62688581911937	37.0	37.0	37.0	37.0	37.0
10-14	36.62734192958376	37.0	37.0	37.0	37.0	37.0
15-19	36.615235060740794	37.0	37.0	37.0	37.0	37.0
20-24	36.597634785615185	37.0	37.0	37.0	37.0	37.0
25-29	36.5562122223876	37.0	37.0	37.0	37.0	37.0
30-34	36.53362714460678	37.0	37.0	37.0	37.0	37.0
35-39	36.51225710883852	37.0	37.0	37.0	37.0	37.0
40-44	36.49680165733456	37.0	37.0	37.0	37.0	37.0
45-49	36.47735235142257	37.0	37.0	37.0	37.0	37.0
50-54	36.456226128793865	37.0	37.0	37.0	37.0	37.0
55-59	36.431406937772834	37.0	37.0	37.0	37.0	37.0
60-64	36.41141707843285	37.0	37.0	37.0	37.0	37.0
65-69	36.38156007556721	37.0	37.0	37.0	37.0	37.0
70-74	36.356592297586	37.0	37.0	37.0	37.0	37.0
75-79	36.33532526684586	37.0	37.0	37.0	37.0	37.0
80-84	36.31183039763452	37.0	37.0	37.0	37.0	37.0
85-89	36.31064715383689	37.0	37.0	37.0	37.0	37.0
90-94	36.2875373264396	37.0	37.0	37.0	37.0	37.0
95-99	36.25619597853521	37.0	37.0	37.0	37.0	37.0
100-104	36.230820848487475	37.0	37.0	37.0	37.0	37.0
105-109	36.172018843738314	37.0	37.0	37.0	37.0	37.0
110-114	36.166753714428935	37.0	37.0	37.0	37.0	37.0
115-119	36.1113558741092	37.0	37.0	37.0	37.0	37.0
120-124	36.07102953275232	37.0	37.0	37.0	37.0	37.0
125-129	36.028475412737116	37.0	37.0	37.0	37.0	37.0
130-134	35.96169514807729	37.0	37.0	37.0	37.0	37.0
135-139	35.89312651374006	37.0	37.0	37.0	37.0	37.0
140-144	35.809575283190824	37.0	37.0	37.0	37.0	37.0
145-149	35.74944292113513	37.0	37.0	37.0	37.0	37.0
150-151	35.53504622236993	37.0	37.0	37.0	37.0	37.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1111	50-54	-0.013994889581546488
1111	55-59	0.008293468840705032
1111	60-64	-0.01761948803012814
1111	65-69	-0.05567860172953942
1111	70-74	-0.01480600045496061
1111	75-79	0.0038175119897587706
1111	80-84	-0.027449190809001323
1111	85-89	0.0058559334139260955
1111	90-94	-0.051950163045276554
1111	95-99	-0.039160037861343255
1111	100-104	-0.01338024808840288
1111	105-109	0.010502744880419357
1111	110-114	-0.01919231929731069
1111	115-119	-0.06150452963463238
1111	120-124	0.02945210641880891
1111	125-129	-0.026720761550620864
1111	130-134	-0.03388663397635128
1111	135-139	-0.05122062237429503
1111	140-144	0.08296292058631138
1111	145-149	0.1139393534931159
1111	150-151	0.09292957014769598
1112	1	0.0169476274744369
1112	2	0.0042235656746711925
1112	3	-0.01106251589214935
1112	4	0.05774517443582283
1112	5	0.004161689680010738
1112	6	-0.008894569542007957
1112	7	0.00989857113226833
1112	8	0.011982185808157908
1112	9	-0.026431556257811906
1112	10-14	-0.028808959576529958
1112	15-19	-0.030367246719549712
1112	20-24	-0.0369199061647123
1112	25-29	-0.025150160063930116
1112	30-34	-0.07299494329170386
1112	35-39	-0.0717581442532591
1112	40-44	-0.05538328123942193
1112	45-49	-0.04170961528176065
1112	50-54	-0.06556313336604802
1112	55-59	-0.059109602017805685
1112	60-64	-0.004224001774126407
1112	65-69	-0.04961242631836882
1112	70-74	-0.04030108761870821
1112	75-79	-0.05624573165849256
1112	80-84	-0.033242026056257146
1112	85-89	-0.023393544035272384
1112	90-94	-0.009514176436248079
1112	95-99	-0.0483752812447662
1112	100-104	-0.02667372115431732
1112	105-109	-0.014525748214445855
1112	110-114	-0.008710184442847435
1112	115-119	-0.09705067635265863
1112	120-124	0.016669840098899158
1112	125-129	0.015133477560723918
1112	130-134	0.002111393107085746
1112	135-139	0.028762311059530532
1112	140-144	0.06968339460297557
1112	145-149	0.1778522115419534
1112	150-151	0.1904592104671039
1113	1	0.022589540508093364
1113	2	0.06093478583814971
1113	3	0.11810740287810262
1113	4	0.08137768582817273
1113	5	0.08482736982153227
1113	6	0.026117841955006327
1113	7	0.05247499524422494
1113	8	0.003303652476581931
1113	9	-0.01310000723027116
1113	10-14	0.050150222881377715
1113	15-19	-0.017913823675861806
1113	20-24	0.017481329028704806
1113	25-29	0.002817688395914786
1113	30-34	0.014506876468146856
1113	35-39	0.003682964759818219
1113	40-44	0.008417429337150395
1113	45-49	0.01862648914034537
1113	50-54	-0.014580950083455946
1113	55-59	-0.006233556783399763
1113	60-64	0.03041458365446914
1113	65-69	-0.020252527321119373
1113	70-74	-0.019048570986313962
1113	75-79	-0.04551582603195925
1113	80-84	0.00841732160509423
1113	85-89	0.056536222962748184
1113	90-94	0.008148428914914518
1113	95-99	0.02955793437561738
1113	100-104	0.02683330705106357
1113	105-109	0.022305417229659952
1113	110-114	9.670542518236402E-4
1113	115-119	-0.0076718395259334216
1113	120-124	0.05758394808389511
1113	125-129	0.01099830547573788
1113	130-134	0.0895522888247342
1113	135-139	0.06692491243118326
1113	140-144	0.03000696606756037
1113	145-149	0.12904275150530964
1113	150-151	0.13008651347127653
